Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
12/3/2006,0.7475,0.7476,0.7459,0.7465,3600000000,-0.0017,-0.000639481,1396.71,5427.9,Bull
12/4/2006,0.7465,0.7526,0.7445,0.7505,57814000000,0.0081,0.002320885,1409.12,5424.9,Bull
12/5/2006,0.7505,0.7542,0.7497,0.7525,54245000000,0.0045,0.001155808,1414.76,5426.5,Bear
12/6/2006,0.7525,0.7526,0.7451,0.7471,61771000000,-0.0075,-0.003127768,1412.9,5466.7,Bull
12/7/2006,0.7472,0.7516,0.7438,0.7492,62757000000,0.0078,0.001219032,1407.29,5465.2,Bull
12/8/2006,0.7493,0.7523,0.7486,0.75,46500000000,0.0037,0.000463495,1409.84,5425.8,Bear
12/10/2006,0.7495,0.7496,0.7473,0.7491,3406000000,-0.0023,-0.000521466,1409.84,5425.8,Bull
12/11/2006,0.7491,0.7566,0.7487,0.7559,53786000000,0.0079,0.003924548,1413.04,5469.7,Bear
12/12/2006,0.7558,0.7569,0.752,0.7526,51854000000,-0.0049,-0.001900131,1411.56,5473.6,Bull
12/13/2006,0.7526,0.7582,0.7514,0.7544,59082000000,0.0068,0.001037466,1413.21,5488.2,Bear
12/14/2006,0.7544,0.7565,0.7452,0.7464,65791000000,-0.0113,-0.004630049,1425.49,5573.1,Bear
12/15/2006,0.7481,0.7481,0.7414,0.7433,57396000000,-0.0067,-0.001807498,1427.09,5575.4,Bull
12/17/2006,0.7434,0.7444,0.7426,0.7437,3176000000,0.0018,0.000233649,1427.09,5575.4,Bear
12/18/2006,0.7439,0.7469,0.7378,0.7404,49220000000,-0.0091,-0.001931371,1422.48,5591.5,Bear
12/19/2006,0.7402,0.7418,0.7314,0.7348,51457000000,-0.0104,-0.003297262,1425.55,5559.7,Bear
12/20/2006,0.7347,0.7368,0.7312,0.7339,53280000000,-0.0056,-0.00053226,1423.53,5607.8,Bear
12/21/2006,0.734,0.7345,0.7295,0.7301,50966000000,-0.005,-0.002254539,1418.3,5583.5,Bear
12/22/2006,0.7301,0.7316,0.7261,0.7284,35926000000,-0.0055,-0.001012411,1410.76,5603.7,Bear
12/24/2006,0.7285,0.729,0.7274,0.7283,1556000000,-0.0016,-5.96E-05,1410.76,5603.7,Bull
12/25/2006,0.7284,0.7322,0.7276,0.7306,16072000000,0.0046,0.001369358,1410.76,5603.7,Bear
12/26/2006,0.7306,0.7312,0.7228,0.7254,39608000000,-0.0084,-0.003102117,1416.9,5603.7,Bull
12/27/2006,0.7256,0.7316,0.7247,0.7293,56233000000,0.0069,0.002328662,1426.84,5643.2,Bull
12/28/2006,0.7293,0.7332,0.7268,0.7317,47249000000,0.0064,0.001426841,1424.73,5660.5,Bull
12/29/2006,0.7317,0.7344,0.73,0.7324,46422000000,0.0044,0.000415281,1418.3,5669.9,Bull
12/31/2006,0.7324,0.7325,0.7323,0.7324,1438000000,-0.0002,0,1418.3,5669.9,Bear
1/1/2007,0.7324,0.7337,0.731,0.7312,12926000000,-0.0027,-0.000712153,1418.3,5669.9,Bull
1/2/2007,0.7313,0.7422,0.731,0.7414,57604000000,0.0112,0.006016399,1418.3,5670.2,Bull
1/3/2007,0.7413,0.7483,0.7395,0.7459,58959000000,0.0088,0.002628025,1416.6,5649.4,Bull
1/4/2007,0.7459,0.7484,0.7437,0.747,47251000000,0.0047,0.000639995,1418.34,5584.8,Bull
