@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute NIKKEI numeric
@attribute Class { Bear , Bull } 


@data
119.62 , 119.73 , 119.54 , 119.71 , 2.98E+11 , 0.19 , 0.000399251 , 1400.95 , 15734.6 , Bear 
119.71 , 119.93 , 118.33 , 118.92 , 4.89E+12 , -1.6 , -0.00287553 , 1381.96 , 15885.38 , Bull 
118.92 , 119.78 , 118.78 , 119.76 , 4.95E+12 , 1 , 0.003056887 , 1386.72 , 15855.26 , Bear 
119.76 , 119.86 , 119.23 , 119.7 , 5.24E+12 , -0.63 , -0.000217637 , 1399.48 , 16076.2 , Bull 
119.7 , 120.72 , 119.67 , 120.4 , 5.68E+12 , 1.05 , 0.002532337 , 1400.63 , 16274.33 , Bull 
120.4 , 121.22 , 120.18 , 120.6 , 4.32E+12 , 1.04 , 0.000720821 , 1396.71 , 16321.78 , Bull 
120.59 , 121.27 , 120.59 , 121.05 , 2.04E+11 , 0.68 , 0.001617486 , 1396.71 , 16321.78 , Bear 
121.05 , 121.38 , 120.7 , 120.86 , 5.23E+12 , -0.68 , -0.000682204 , 1409.12 , 16303.59 , Bear 
120.86 , 121.26 , 120.57 , 120.65 , 4.91E+12 , -0.69 , -0.000755264 , 1414.76 , 16265.76 , Bull 
120.65 , 121.19 , 120.65 , 121.05 , 5.50E+12 , 0.54 , 0.001437468 , 1412.9 , 16371.28 , Bear 
121.05 , 121.05 , 119.97 , 120.46 , 5.04E+12 , -1.08 , -0.002121935 , 1407.29 , 16473.36 , Bull 
120.46 , 120.75 , 120.31 , 120.64 , 4.31E+12 , 0.44 , 0.00064847 , 1409.84 , 16417.82 , Bull 
120.67 , 120.88 , 120.64 , 120.85 , 3.77E+11 , 0.24 , 0.000755326 , 1409.84 , 16417.82 , Bear 
120.85 , 121.05 , 119.52 , 119.91 , 5.69E+12 , -1.53 , -0.003391252 , 1413.04 , 16527.99 , Bull 
119.91 , 120.46 , 119.64 , 120.08 , 5.23E+12 , 0.82 , 0.000615276 , 1411.56 , 16637.78 , Bear 
120.08 , 120.09 , 116.7 , 117.56 , 5.48E+12 , -3.39 , -0.009211102 , 1413.21 , 16692.93 , Bear 
117.56 , 117.67 , 115.81 , 116.32 , 6.73E+12 , -1.86 , -0.004605184 , 1425.49 , 16829.2 , Bear 
116.32 , 116.5 , 115.59 , 115.67 , 5.47E+12 , -0.91 , -0.002433658 , 1427.09 , 16914.31 , Bear 
115.62 , 115.67 , 115.52 , 115.57 , 1.95E+11 , -0.15 , -0.000375622 , 1427.09 , 16914.31 , Bull 
115.57 , 116.58 , 115.51 , 116.08 , 3.75E+12 , 1.07 , 0.001912286 , 1422.48 , 16962.11 , Bull 
116.08 , 117.31 , 115.96 , 117.27 , 5.23E+12 , 1.35 , 0.004429526 , 1425.55 , 16776.88 , Bull 
117.27 , 117.53 , 116.74 , 117.48 , 5.49E+12 , 0.79 , 0.000777013 , 1423.53 , 17011.04 , Bear 
117.48 , 117.63 , 116.43 , 116.67 , 5.41E+12 , -1.2 , -0.00300474 , 1418.3 , 17047.83 , Bear 
116.67 , 116.89 , 116.12 , 116.2 , 5.77E+12 , -0.77 , -0.00175307 , 1410.76 , 17104.96 , Bull 
116.23 , 116.52 , 116.18 , 116.26 , 2019000000 , 0.34 , 0.000224191 , 1410.76 , 17104.96 , Bull 
116.26 , 116.58 , 115.94 , 116.54 , 90409000000 , 0.64 , 0.001044695 , 1410.76 , 17092.89 , Bull 
116.54 , 117.47 , 116.53 , 117.33 , 3.31E+12 , 0.94 , 0.002934057 , 1416.9 , 17169.19 , Bull 
117.33 , 117.96 , 116.97 , 117.72 , 3.08E+12 , 0.99 , 0.001441183 , 1426.84 , 17248.63 , Bull 
117.72 , 117.98 , 117.71 , 117.82 , 4.05E+12 , 0.27 , 0.000368765 , 1424.73 , 17224.81 , Bear 
117.82 , 118.16 , 116.99 , 117.71 , 3.67E+12 , -1.17 , -0.000405659 , 1418.3 , 17225.83 , Bull 
117.75 , 117.76 , 117.74 , 117.74 , 1063000000 , 0.02 , 0.000110672 , 1418.3 , 17225.83 , Bull 
117.75 , 117.89 , 117.71 , 117.75 , 1.16E+11 , 0.18 , 3.68843E-05 , 1418.3 , 17225.83 , Bear 
117.75 , 117.89 , 115.85 , 115.95 , 5.51E+12 , -2.04 , -0.006690163 , 1418.3 , 17225.83 , Bull 
115.95 , 116.45 , 115.59 , 116.25 , 5.80E+12 , 0.86 , 0.001122209 , 1416.6 , 17225.83 , Bear 
116.25 , 116.46 , 115.74 , 115.98 , 5.42E+12 , -0.72 , -0.001009857 , 1418.34 , 17353.67 , Bear 
115.98 , 116.29 , 114.21 , 114.47 , 3.74E+12 , -2.08 , -0.005691422 , 1409.71 , 17091.59 , Bull 
114.43 , 114.61 , 114.33 , 114.52 , 2.43E+11 , 0.28 , 0.000189657 , 1409.71 , 17091.59 , Bull 
114.52 , 114.75 , 113.77 , 114.53 , 4.70E+12 , 0.98 , 3.79214E-05 , 1412.84 , 17091.59 , Bear 
114.53 , 114.77 , 114.11 , 114.45 , 4.13E+12 , -0.66 , -0.000303464 , 1412.11 , 17237.77 , Bear 
114.45 , 114.88 , 113.91 , 114.29 , 5.06E+12 , -0.97 , -0.000607564 , 1414.85 , 16942.4 , Bull 
