@relation whatever

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Range numeric
@attribute Change numeric
@attribute SP500 numeric
@attribute FTSE numeric
@attribute Class { Bear , Bull } 


@data
1.2505 , 1.2516 , 1.2442 , 1.2458 , 1.58212E+11 , -0.0074 , -0.001565905 , 1313.25 , 5981.7 , Bear 
1.2459 , 1.2537 , 1.2402 , 1.2419 , 1.94257E+11 , -0.0135 , -0.001361699 , 1300.26 , 5929.3 , Bear 
1.2419 , 1.2452 , 1.2382 , 1.2406 , 2.19817E+11 , -0.007 , -0.00045485 , 1294.02 , 5858.1 , Bull 
1.2405 , 1.2459 , 1.2371 , 1.241 , 2.19086E+11 , 0.0088 , 0.000140005 , 1298.92 , 5879.3 , Bull 
1.2406 , 1.2415 , 1.2391 , 1.2413 , 15712000000 , 0.0024 , 0.000104974 , 1298.92 , 5879.3 , Bear 
1.2413 , 1.2414 , 1.2267 , 1.2295 , 1.89539E+11 , -0.0147 , -0.004148222 , 1299.54 , 5850.8 , Bear 
1.2295 , 1.2316 , 1.2244 , 1.2285 , 2.33373E+11 , -0.0072 , -0.000353372 , 1313 , 5895.5 , Bear 
1.2281 , 1.233 , 1.226 , 1.2272 , 2.06086E+11 , -0.007 , -0.000459814 , 1318.07 , 5892.2 , Bear 
1.2274 , 1.2274 , 1.2193 , 1.2231 , 2.06912E+11 , -0.0081 , -0.00145338 , 1316.28 , 5877.2 , Bull 
1.223 , 1.2309 , 1.22 , 1.2236 , 2.01498E+11 , 0.0109 , 0.000177502 , 1319.66 , 5877 , Bear 
1.2232 , 1.2233 , 1.2142 , 1.2164 , 26541000000 , -0.0091 , -0.002563057 , 1319.66 , 5877 , Bear 
1.2164 , 1.2174 , 1.2097 , 1.2142 , 1.87635E+11 , -0.0077 , -0.000786183 , 1321.18 , 5890.2 , Bear 
1.2145 , 1.2191 , 1.2105 , 1.2115 , 2.15493E+11 , -0.0086 , -0.00096681 , 1317.64 , 5831.8 , Bull 
1.2116 , 1.2268 , 1.2107 , 1.2261 , 2.50488E+11 , 0.0161 , 0.005202474 , 1325.18 , 5866.2 , Bear 
1.2261 , 1.2269 , 1.2132 , 1.2142 , 2.9322E+11 , -0.0137 , -0.004235664 , 1318.03 , 5896.7 , Bear 
1.2142 , 1.2168 , 1.2021 , 1.2039 , 3.55724E+11 , -0.0147 , -0.003699814 , 1314.78 , 5822.3 , Bear 
1.2035 , 1.2039 , 1.2014 , 1.20335 , 17919000000 , -0.0025 , -0.000198452 , 1314.78 , 5822.3 , Bull 
1.20335 , 1.20795 , 1.2009 , 1.2072 , 7.6017E+11 , 0.00705 , 0.001387264 , 1326.37 , 5798.3 , Bear 
1.2072 , 1.2083 , 1.1978 , 1.201 , 9.47602E+11 , -0.0105 , -0.002236219 , 1336.35 , 5873.6 , Bull 
1.201 , 1.207 , 1.1992 , 1.2055 , 1.0168E+12 , 0.0078 , 0.001624207 , 1336.59 , 5930.1 , Bear 
1.2055 , 1.20755 , 1.2006 , 1.2019 , 9.42352E+11 , -0.00695 , -0.00129888 , 1338.88 , 5971.3 , Bull 
1.2019 , 1.20895 , 1.1996 , 1.2065 , 1.56035E+12 , 0.00935 , 0.001658991 , 1335.85 , 5960.8 , Bear 
1.2061 , 1.2063 , 1.2009 , 1.20245 , 16989000000 , -0.0054 , -0.0014603 , 1335.85 , 5960.8 , Bear 
1.2024 , 1.203 , 1.1897 , 1.19175 , 1.69421E+12 , -0.0133 , -0.003881866 , 1331.32 , 5957.8 , Bull 
1.19175 , 1.1948 , 1.1904 , 1.1918 , 1.70577E+12 , 0.0044 , 1.82205E-05 , 1334.11 , 5937.1 , Bull 
1.1918 , 1.2018 , 1.1913 , 1.2012 , 1.61044E+12 , 0.0105 , 0.003411942 , 1350.2 , 5966.5 , Bull 
1.2012 , 1.22045 , 1.2011 , 1.21635 , 2.16274E+12 , 0.01935 , 0.005443236 , 1353.22 , 6004.5 , Bear 
1.21635 , 1.2179 , 1.209 , 1.2129 , 1.35958E+12 , -0.0089 , -0.001233563 , 1349.59 , 6001.2 , Bear 
1.2125 , 1.21335 , 1.2107 , 1.2126 , 24776000000 , -0.00265 , -0.000107432 , 1349.59 , 6001.2 , Bear 
1.2126 , 1.21525 , 1.2039 , 1.2051 , 1.08824E+12 , -0.01135 , -0.002694477 , 1350.66 , 6030.9 , Bear 
1.2051 , 1.2055 , 1.196 , 1.19665 , 1.68675E+12 , -0.0095 , -0.003055941 , 1353.42 , 6072.7 , Bull 
1.19665 , 1.20525 , 1.1949 , 1.2022 , 1.62503E+12 , 0.01035 , 0.002009578 , 1349.95 , 6073.5 , Bear 
1.2022 , 1.20365 , 1.1913 , 1.201 , 1.77895E+12 , -0.01235 , -0.000433716 , 1362.83 , 6121.3 , Bull 
1.201 , 1.21075 , 1.19755 , 1.2076 , 2.0285E+12 , 0.0132 , 0.002380097 , 1365.62 , 6157.3 , Bear 
1.2077 , 1.2094 , 1.2054 , 1.2066 , 41695000000 , -0.004 , -0.000359783 , 1365.62 , 6157.3 , Bear 
1.2062 , 1.212 , 1.19925 , 1.2004 , 1.71266E+12 , -0.01275 , -0.002237334 , 1369.06 , 6172.4 , Bear 
1.2004 , 1.2012 , 1.19145 , 1.1928 , 1.4127E+12 , -0.00975 , -0.002758356 , 1364.05 , 6108.6 , Bull 
1.1928 , 1.2003 , 1.18745 , 1.1982 , 2.00319E+12 , 0.01285 , 0.001961685 , 1365.8 , 6150.4 , Bull 
1.1982 , 1.2037 , 1.1948 , 1.2037 , 1.56658E+12 , 0.0089 , 0.001988945 , 1366.96 , 6156 , Bear 
1.2037 , 1.2076 , 1.19275 , 1.196 , 1.41952E+12 , -0.01485 , -0.002787081 , 1368.6 , 6155.2 , Bear 
1.1949 , 1.19515 , 1.1924 , 1.1929 , 28408000000 , -0.00275 , -0.001127141 , 1368.6 , 6155.2 , Bull 
1.1929 , 1.2021 , 1.1917 , 1.1957 , 1.45445E+12 , 0.0104 , 0.001018191 , 1377.02 , 6166.1 , Bull 
1.1957 , 1.2118 , 1.1936 , 1.2097 , 2.30815E+12 , 0.0182 , 0.005055451 , 1377.38 , 6182.5 , Bear 
1.2093 , 1.2136 , 1.2044 , 1.205 , 1.8517E+12 , -0.0092 , -0.001690634 , 1382.22 , 6214.6 , Bull 
1.205 , 1.21725 , 1.2048 , 1.21395 , 2.28561E+12 , 0.01245 , 0.003213753 , 1389.08 , 6184.8 , Bear 
1.21395 , 1.217 , 1.2047 , 1.2064 , 1.53978E+12 , -0.0123 , -0.002709471 , 1377.34 , 6160.9 , Bear 
1.2064 , 1.2071 , 1.2041 , 1.2061 , 15334000000 , -0.003 , -0.000108011 , 1377.34 , 6160.9 , Bear 
1.2061 , 1.2089 , 1.1968 , 1.1988 , 1.39619E+12 , -0.0121 , -0.002636583 , 1377.93 , 6126.8 , Bull 
1.1987 , 1.2042 , 1.197 , 1.20195 , 1.81586E+12 , 0.0072 , 0.001139668 , 1377.94 , 6129.2 , Bull 
1.20195 , 1.2086 , 1.1983 , 1.2066 , 1.55093E+12 , 0.0103 , 0.001676919 , 1367.81 , 6149.6 , Bear 
1.2065 , 1.20815 , 1.1934 , 1.1949 , 1.4163E+12 , -0.01475 , -0.00423176 , 1367.34 , 6149.3 , Bear 
1.1949 , 1.1994 , 1.1802 , 1.181 , 1.27514E+12 , -0.0192 , -0.005081664 , 1364.3 , 6148.1 , Bear 
1.181 , 1.1813 , 1.1795 , 1.1803 , 10396000000 , -0.0018 , -0.00025749 , 1364.3 , 6148.1 , Bear 
1.1803 , 1.1832 , 1.1776 , 1.1789 , 1.45289E+12 , -0.0056 , -0.000515439 , 1379.78 , 6224.5 , Bear 
1.1789 , 1.17935 , 1.17065 , 1.1764 , 1.69366E+12 , -0.0087 , -0.000921952 , 1382.84 , 6244 , Bull 
1.1763 , 1.1789 , 1.1718 , 1.1775 , 1.4942E+12 , 0.0071 , 0.0004059 , 1385.72 , 6239 , Bear 
1.1775 , 1.17965 , 1.16695 , 1.1671 , 1.00325E+12 , -0.0127 , -0.003852847 , 1378.33 , 6231.5 , Bull 
1.1671 , 1.1735 , 1.1669 , 1.1733 , 8.43577E+11 , 0.0066 , 0.002301002 , 1380.9 , 6208.4 , Bear 
1.1733 , 1.1736 , 1.1709 , 1.1732 , 4698000000 , -0.0027 , -3.70164E-05 , 1380.9 , 6208.4 , Bear 
1.1731 , 1.1773 , 1.166 , 1.1689 , 2.12496E+12 , -0.0113 , -0.001594696 , 1384.42 , 6194.2 , Bull 
1.1688 , 1.1735 , 1.164 , 1.173 , 4.78698E+12 , 0.0095 , 0.001520653 , 1393.22 , 6186.6 , Bear 
1.173 , 1.1731 , 1.16435 , 1.1674 , 5.41007E+12 , -0.00875 , -0.002078323 , 1396.57 , 6229.8 , Bull 
1.1674 , 1.17625 , 1.16425 , 1.1746 , 4.62369E+12 , 0.012 , 0.002670308 , 1399.76 , 6254.9 , Bull 
1.1746 , 1.17945 , 1.16625 , 1.1772 , 4.88718E+12 , 0.0132 , 0.000960257 , 1401.2 , 6192 , Bull 
1.177 , 1.1783 , 1.1765 , 1.1773 , 2.90838E+11 , 0.0018 , 3.68906E-05 , 1401.2 , 6192 , Bear 
1.1773 , 1.18375 , 1.1717 , 1.1731 , 4.43389E+12 , -0.01205 , -0.001552109 , 1400.5 , 6204.5 , Bull 
1.1731 , 1.1824 , 1.1685 , 1.1812 , 5.38644E+12 , 0.0139 , 0.002988404 , 1402.81 , 6202.6 , Bear 
1.1812 , 1.18645 , 1.1763 , 1.1807 , 4.44525E+12 , -0.01015 , -0.000183875 , 1406.09 , 6160.3 , Bear 
1.1807 , 1.1824 , 1.177 , 1.1778 , 4.6783E+12 , -0.0054 , -0.001068013 , 1406.09 , 6140 , Bear 
1.1778 , 1.1779 , 1.1709 , 1.17205 , 4.56033E+12 , -0.007 , -0.002125411 , 1400.95 , 6122.1 , Bear 
1.1722 , 1.1722 , 1.1704 , 1.1713 , 1.23172E+11 , -0.0018 , -0.000277996 , 1400.95 , 6122.1 , Bull 
1.1713 , 1.1902 , 1.168 , 1.1844 , 4.2785E+12 , 0.0222 , 0.004830255 , 1381.96 , 6050.1 , Bear 
1.1844 , 1.1862 , 1.1737 , 1.1764 , 3.94846E+12 , -0.0125 , -0.002943383 , 1386.72 , 6025.9 , Bull 
1.1764 , 1.18035 , 1.17355 , 1.17965 , 5.01415E+12 , 0.0068 , 0.001198156 , 1399.48 , 6084.4 , Bear 
1.17965 , 1.1803 , 1.16895 , 1.1739 , 4.28253E+12 , -0.01135 , -0.002122069 , 1400.63 , 6048.8 , Bear 
1.1739 , 1.17485 , 1.16615 , 1.17145 , 4.7963E+12 , -0.0087 , -0.000907346 , 1396.71 , 6021.5 , Bull 
1.1704 , 1.1718 , 1.1691 , 1.1716 , 1.57497E+11 , 0.0027 , 5.56063E-05 , 1396.71 , 6021.5 , Bull 
1.1716 , 1.182 , 1.1688 , 1.1784 , 4.80059E+12 , 0.0132 , 0.002513371 , 1409.12 , 6050.4 , Bull 
1.1784 , 1.18065 , 1.17555 , 1.1797 , 6.06996E+12 , 0.0051 , 0.000478846 , 1414.76 , 6086.4 , Bear 
1.1797 , 1.1798 , 1.1703 , 1.1715 , 5.53846E+12 , -0.0095 , -0.003029286 , 1412.9 , 6090.3 , Bull 
1.1715 , 1.1849 , 1.1703 , 1.1811 , 4.50256E+12 , 0.0146 , 0.003544377 , 1407.29 , 6131.5 , Bull 
1.1811 , 1.18365 , 1.17655 , 1.18135 , 4.65709E+12 , 0.0071 , 9.19161E-05 , 1409.84 , 6152.4 , Bear 
1.1811 , 1.1814 , 1.1776 , 1.179 , 2.4647E+11 , -0.0038 , -0.000864781 , 1409.84 , 6152.4 , Bull 
1.179 , 1.1982 , 1.1789 , 1.1951 , 5.27726E+12 , 0.0193 , 0.005890441 , 1413.04 , 6159.8 , Bear 
1.1952 , 1.1987 , 1.19055 , 1.1945 , 6.16282E+12 , -0.00815 , -0.000218092 , 1411.56 , 6156.4 , Bull 
1.1945 , 1.2061 , 1.1944 , 1.1971 , 5.31134E+12 , 0.0117 , 0.000944277 , 1413.21 , 6192.5 , Bear 
1.1971 , 1.20385 , 1.1935 , 1.19635 , 5.51046E+12 , -0.01035 , -0.000272177 , 1425.49 , 6228 , Bull 
1.19635 , 1.20265 , 1.1937 , 1.20115 , 6.16813E+12 , 0.00895 , 0.001738992 , 1427.09 , 6260 , Bull 
1.2014 , 1.2037 , 1.1946 , 1.2034 , 1.18897E+11 , 0.0091 , 0.000812762 , 1427.09 , 6260 , Bear 
1.2034 , 1.20365 , 1.1975 , 1.2004 , 4.51157E+12 , -0.00615 , -0.00108402 , 1422.48 , 6247.4 , Bear 
1.2004 , 1.2012 , 1.1839 , 1.1873 , 4.26831E+12 , -0.0173 , -0.004765519 , 1425.55 , 6203.9 , Bear 
1.1873 , 1.19105 , 1.18005 , 1.183 , 3.43025E+12 , -0.011 , -0.001575723 , 1423.53 , 6198.6 , Bull 
1.183 , 1.18965 , 1.18095 , 1.187 , 4.14771E+12 , 0.0087 , 0.001465974 , 1418.3 , 6183.7 , Bear 
1.187 , 1.18835 , 1.18285 , 1.1868 , 3.44822E+12 , -0.0055 , -7.31813E-05 , 1410.76 , 6190 , Bear 
1.1866 , 1.1877 , 1.185 , 1.1854 , 1607000000 , -0.0027 , -0.000512615 , 1410.76 , 6190 , Bear 
1.1854 , 1.1895 , 1.1826 , 1.1835 , 67661000000 , -0.0069 , -0.000696661 , 1410.76 , 6190 , Bull 
1.1835 , 1.1876 , 1.182 , 1.1852 , 4.53676E+12 , 0.0056 , 0.000623381 , 1416.9 , 6190 , Bear 
1.1852 , 1.1931 , 1.1812 , 1.1845 , 3.13542E+12 , -0.0119 , -0.000256578 , 1426.84 , 6245.2 , Bull 
1.1845 , 1.1881 , 1.182 , 1.18475 , 3.64494E+12 , 0.0061 , 9.16523E-05 , 1424.73 , 6240.9 , Bear 
