Date,Open,High,Low,Close,Volume,Range,Change,SP500,ForIndex,Class
11/26/2006,1.7143,1.7145,1.7111,1.7142,1.74E+11,-0.0034,-2.53E-05,1400.95,6122.1,Bull
11/27/2006,1.7142,1.7343,1.7046,1.7278,2.48E+12,0.0297,0.003431979,1381.96,6050.1,Bear
11/28/2006,1.7278,1.7292,1.7143,1.7165,2.53E+12,-0.0149,-0.002849662,1386.72,6025.9,Bull
11/29/2006,1.7165,1.7347,1.7161,1.7299,2.57E+12,0.0186,0.003377191,1399.48,6084.4,Bull
11/30/2006,1.7299,1.7341,1.726,1.7325,2.52E+12,0.0081,0.000652245,1400.63,6048.8,Bull
12/1/2006,1.7325,1.7378,1.7247,1.7325,2.42E+12,-0.0131,0,1396.71,6021.5,Bear
12/3/2006,1.7323,1.7329,1.7306,1.732,1.68E+11,-0.0023,-0.000125356,1396.71,6021.5,Bull
12/4/2006,1.732,1.7442,1.727,1.7412,2.69E+12,0.0172,0.002300771,1409.12,6050.4,Bull
12/5/2006,1.7412,1.7452,1.7311,1.742,2.81E+12,0.0141,0.000199492,1414.76,6086.4,Bear
12/6/2006,1.742,1.7423,1.7291,1.7345,2.75E+12,-0.0132,-0.001873846,1412.9,6090.3,Bull
12/7/2006,1.7345,1.7559,1.7333,1.7515,2.41E+12,0.0226,0.004235837,1407.29,6131.5,Bull
12/8/2006,1.7515,1.7566,1.7461,1.7545,2.29E+12,0.0105,0.000743231,1409.84,6152.4,Bear
12/10/2006,1.7547,1.7547,1.7489,1.751,1.70E+11,-0.0058,-0.000867226,1409.84,6152.4,Bull
12/11/2006,1.751,1.7772,1.751,1.7744,2.42E+12,0.0262,0.005765383,1413.04,6159.8,Bear
12/12/2006,1.7744,1.778,1.7654,1.7696,2.46E+12,-0.0126,-0.001176419,1411.56,6156.4,Bull
12/13/2006,1.7696,1.7809,1.7635,1.7709,2.53E+12,0.0174,0.000318928,1413.21,6192.5,Bear
12/14/2006,1.7709,1.7751,1.7612,1.7648,2.57E+12,-0.0139,-0.001498543,1425.49,6228,Bull
